,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,0.22613342,0.08509395,0.22041166,0.3417963,0.40774164,0.32060543,0.09324566,0.1922021,0.32384107,0.27791542,0.16704707,0.0778414,0.20420527,0.01628561
1,0.22613342,0.9999999,0.29806134,0.13642053,0.33325368,0.47213957,0.27184647,0.09256048,0.24068353,0.3028548,0.27485725,0.16620655,0.09070169,0.19457386,0.1560308
2,0.08509395,0.29806134,0.99999976,0.12742461,0.31866357,0.2162755,0.08738068,0.10854198,0.15412155,0.3265639,0.18880141,0.20211022,0.14918892,0.0899166,0.32119763
3,0.22041166,0.13642053,0.12742461,1,0.16948004,0.16535567,0.13731207,0.108389206,0.17609815,0.057629198,0.16892837,0.14092258,0.15981542,0.15218516,0.105103664
4,0.3417963,0.33325368,0.31866357,0.16948004,0.9999997,0.39173713,0.25807765,0.1579492,0.34793395,0.33204454,0.26605517,0.04580168,-0.011177848,0.27741295,0.2209918
5,0.40774164,0.47213957,0.2162755,0.16535567,0.39173713,1.0000001,0.324282,0.07047253,0.42102876,0.25762117,0.19861653,0.31460848,0.038368102,0.38366205,0.16043279
6,0.32060543,0.27184647,0.08738068,0.13731207,0.25807765,0.324282,1.0000002,0.2272647,0.39911804,0.27536875,0.24946918,0.071105346,0.15318462,0.2951249,-0.008907304
7,0.09324566,0.09256048,0.10854198,0.108389206,0.1579492,0.07047253,0.2272647,1,0.21374781,0.15323414,0.116102725,0.06105926,0.09166845,0.13052276,-0.021077417
8,0.1922021,0.24068353,0.15412155,0.17609815,0.34793395,0.42102876,0.39911804,0.21374781,0.9999993,0.30521265,0.3875152,0.12689652,0.056898646,0.43127164,0.07789912
9,0.32384107,0.3028548,0.3265639,0.057629198,0.33204454,0.25762117,0.27536875,0.15323414,0.30521265,0.9999999,0.36354622,0.101796895,0.14993684,0.32207462,0.11458807
10,0.27791542,0.27485725,0.18880141,0.16892837,0.26605517,0.19861653,0.24946918,0.116102725,0.3875152,0.36354622,1.0000008,0.06642504,0.12141903,0.16404666,0.052282777
11,0.16704707,0.16620655,0.20211022,0.14092258,0.04580168,0.31460848,0.071105346,0.06105926,0.12689652,0.101796895,0.06642504,0.9999999,0.1413085,0.11648534,0.10016646
12,0.0778414,0.09070169,0.14918892,0.15981542,-0.011177848,0.038368102,0.15318462,0.09166845,0.056898646,0.14993684,0.12141903,0.1413085,0.9999999,0.05660885,-0.060162578
13,0.20420527,0.19457386,0.0899166,0.15218516,0.27741295,0.38366205,0.2951249,0.13052276,0.43127164,0.32207462,0.16404666,0.11648534,0.05660885,0.9999989,0.080386944
14,0.01628561,0.1560308,0.32119763,0.105103664,0.2209918,0.16043279,-0.008907304,-0.021077417,0.07789912,0.11458807,0.052282777,0.10016646,-0.060162578,0.080386944,0.9999999