,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1.0000002,0.07327648,0.049664076,0.20986225,0.08360429,0.13689347,0.27190328,0.25590757,0.13123713,0.1590713,0.123018,0.18350002,0.18614742,0.16187122
1,0.07327648,1.0000007,0.002233897,0.02399019,0.04885117,0.00012981,-0.033110924,0.02190353,0.026348969,-0.012064768,-0.04046655,0.13707814,0.028178336,0.18824962
2,0.049664076,0.002233897,0.99999994,0.077363715,0.14492342,0.09867012,0.19341037,0.16581886,0.10556382,0.049168766,0.1541247,0.074759856,-3.80E-05,0.15559374
3,0.20986225,0.02399019,0.077363715,1,0.18305974,0.09078508,0.14693679,0.055208553,0.15627204,0.08266644,0.13278547,0.1365614,0.25933865,0.22300327
4,0.08360429,0.04885117,0.14492342,0.18305974,1.0000001,0.18128936,0.3979002,0.42122585,0.15361962,0.011982997,0.3595446,0.45602658,0.18055923,0.4084247
5,0.13689347,0.00012981,0.09867012,0.09078508,0.18128936,0.99999964,0.18491304,0.21846606,0.13656229,0.10414098,0.30381566,0.1373288,0.07858339,0.061025064
6,0.27190328,-0.033110924,0.19341037,0.14693679,0.3979002,0.18491304,1,0.2999044,0.18664198,0.12254147,0.21698768,0.17050408,0.26253954,0.18912382
7,0.25590757,0.02190353,0.16581886,0.055208553,0.42122585,0.21846606,0.2999044,1,0.30283627,0.07114231,0.31998855,0.45762578,0.23551437,0.14081232
8,0.13123713,0.026348969,0.10556382,0.15627204,0.15361962,0.13656229,0.18664198,0.30283627,1.0000004,-0.016078956,0.062250096,0.21354412,0.11184388,0.20702411
9,0.1590713,-0.012064768,0.049168766,0.08266644,0.011982997,0.10414098,0.12254147,0.07114231,-0.016078956,1.0000002,0.060314868,0.009337478,0.24699505,0.06322867
10,0.123018,-0.04046655,0.1541247,0.13278547,0.3595446,0.30381566,0.21698768,0.31998855,0.062250096,0.060314868,1.0000002,0.23615408,0.031870663,0.20723496
11,0.18350002,0.13707814,0.074759856,0.1365614,0.45602658,0.1373288,0.17050408,0.45762578,0.21354412,0.009337478,0.23615408,1,0.42443168,0.41407472
12,0.18614742,0.028178336,-3.80E-05,0.25933865,0.18055923,0.07858339,0.26253954,0.23551437,0.11184388,0.24699505,0.031870663,0.42443168,1.0000001,0.32150325
13,0.16187122,0.18824962,0.15559374,0.22300327,0.4084247,0.061025064,0.18912382,0.14081232,0.20702411,0.06322867,0.20723496,0.41407472,0.32150325,1