Participants,Signal,Tags,filtered_tags,phrases
1,1,"weak,calming,beach,pulsating,not massively put me up or down,friend,white noise,not distressing,pleasant","weak,calming,beach,pulsating,friend,not distressing,pleasant","not massively put me up or down,white noise"
1,2,"not much of a pulse,more active,not feeling super strong,petting a cat,not very long hair,robotic,pleasant,a bit more familiar","robotic,pleasant","not much of a pulse,more active,not feeling super strong,petting a cat,not very long hair,a bit more familiar"
1,3,"stronger,excited,satisfied,nice,pleasing,Tvs,static,not natural,technological,alien,TV thing,massage","stronger,excited,satisfied,nice,pleasing,Tvs,static,not natural,technological,alien,massage",TV thing
1,4,"not feeling,nearly there,rhythm","not feeling,rhythm",nearly there
1,5,"regular,not super strong,pulse,first,direct,regular,not distressed,fancy alarm clock,gentle vibrations","regular,pulse,first,direct,regular,not distressed","not super strong,fancy alarm clock,gentle vibrations"
1,6,"urgent,alarm,not gently woken up,8:15,fire alarm,important,actions afoot,soothing,nice,different,alarm,not familiar,tactile sensation,alarms","urgent,alarm,important,soothing,nice,different,alarm,not familiar,alarms","not gently woken up,8:15,fire alarm,actions afoot,tactile sensation"
1,7,"heartbeat,heart beating,sprinklers watering system,regular,soft,not fluffy,indirect,Someone else's alarm is going off","heartbeat,regular,soft,not fluffy,indirect","heart beating,sprinklers watering system,Someone else's alarm is going off"
1,8,"regular,not intense,slower,not as fast,harsh,strong,alarm,bad happening,calm phone ringing,not unpleasant,nice intensity,struggling to feel it,in your face,pulsating,pleasant,nice","regular,not intense,slower,harsh,strong,alarm,not unpleasant,pulsating,pleasant,nice","not as fast,bad happening,calm phone ringing,nice intensity,struggling to feel it,in your face"
1,9,"rhythmic,not sharp,soft,constant,not flowing,oppression,oppressive,unnerving,novel,downstairs neighbor,washing machine,can't hear,can't feel Indirect","rhythmic,not sharp,soft,constant,not flowing,oppression,oppressive,unnerving,novel","downstairs neighbor,washing machine,can't hear,can't feel Indirect"
1,10,empty,empty,
1,11,"not feeling,not getting","not feeling,not getting",
1,12,"train,horse,excited,not relaxing,jogging,rhythmic,pulsating,up-beat,not alarming","train,horse,excited,not relaxing,jogging,rhythmic,pulsating,not alarming",up-beat
1,13,"train,settling,soothing,train,not passive,direct,not involved,satisfied,positive,game,remote controller,gamer,stressful bits happening,remote shakes,doing well,not in any danger","train,settling,soothing,train,not passive,direct,not involved,satisfied,positive,game,gamer","remote controller,stressful bits happening,remote shakes,doing well,not in any danger"
1,14,"strong,shaving,electric razor,vibrations,constant,pulse,steady,fast,urgent,techno,club,hard,faster,pleasing,soft,shaving,techno,sensation,fast,bass line,techno,rhythmic,constant,fast,not relaxing,stressful,not relaxing,end of giving a presentation,going well,out of the woods,high-pressure situation,not nice,not relaxing","strong,shaving,vibrations,constant,pulse,steady,fast,urgent,techno,club,hard,faster,pleasing,soft,shaving,techno,sensation,fast,techno,rhythmic,constant,fast,not relaxing,stressful,not relaxing,not nice,not relaxing","electric razor,bass line,end of giving a presentation,going well,out of the woods,high-pressure situation"
1,15,"printer,big printer,big scanner,copier,pages,printing,rhythm,satisfied,mundane,menial tasks,laundry,boredom,satisfaction,rhythmic,fast,taxi,passenger,falling into the tray","printer,copier,pages,printing,rhythm,satisfied,mundane,laundry,boredom,satisfaction,rhythmic,fast,taxi,passenger","big printer,big scanner,menial tasks,falling into the tray"
1,16,"nice and slow,not strong,bored,tempo,not aggressive pulse,distressed,bored,unpleasant,personal printer from the early 2000s,take four minutes to print a sheet,long time,boring,background noise,background sensation,funny","not strong,bored,tempo,distressed,bored,unpleasant,boring,funny","nice and slow,not aggressive pulse,personal printer from the early 2000s,take four minutes to print a sheet,long time,background noise,background sensation"
2,1,"creaky,seesaw,run fingers,knife-edge,not excited,blunt kitchen knife,rugged edge,not dominant,neutral,associated with sawing,slightly uncomfortable","creaky,seesaw,not excited,not dominant,neutral","run fingers,knife-edge,blunt kitchen knife,rugged edge,associated with sawing,slightly uncomfortable"
2,2,"balloon,down the balloon,squeaky,numb,distressed,satisfied","balloon,squeaky,numb,distressed,satisfied",down the balloon
2,3,"interchangeable,waiting,smooth,hits the glass,vibration,finger on the glass,fingerprint button on an iPhone,quiet,quiet","interchangeable,waiting,smooth,vibration,quiet,quiet","hits the glass,finger on the glass,fingerprint button on an iPhone"
2,4,"fingerprint button,unlock an iPhone,five times stronger,alarm clock",,"fingerprint button,unlock an iPhone,five times stronger,alarm clock"
2,5,"smooth,water,not excited,boring,not much,not distressed,satisfied,not dominant","smooth,water,not excited,boring,not much,not distressed,satisfied,not dominant",
2,6,"smoother,icing sugar,really soft,nice pen,smooth pen",smoother,"icing sugar,really soft,nice pen,smooth pen"
2,7,"scratchy,rubber,rubber boots,rubbery,touching something rubbery,uncomfortable,distressed,not excited,not satisfied","scratchy,rubber,rubbery,uncomfortable,distressed,not excited,not satisfied","rubber boots,touching something rubbery"
2,8,"rubbing a balloon,lesser scale,familiar,tiring","familiar,tiring","rubbing a balloon,lesser scale"
2,9,"agitated,smooth,stronger vibrations,chalk on a blackboard,unpredictable,nervous","agitated,smooth,unpredictable,nervous","stronger vibrations,chalk on a blackboard"
2,10,"stronger,electric shock,operating table,organs,tools,shock,satisfied,excited,dominant","stronger,organs,tools,shock,satisfied,excited,dominant","electric shock,operating table"
2,11,"heart beating,consistent,rhythmic,calming,clock,smooth,constant,subtle vibrations","consistent,rhythmic,calming,clock,smooth,constant","heart beating,subtle vibrations"
2,12,"Ved Siden Af,nightclub,frantic,intense,scary,bomb,strong,pulsing,sore","nightclub,frantic,intense,scary,bomb,strong,pulsing,sore",Ved Siden Af
2,13,"pencil,scratchy,scratchy,not nice,smooth,wooden,wood,splint,uncomfortable","pencil,scratchy,scratchy,not nice,smooth,wooden,wood,splint,uncomfortable",
2,14,"dramatic music,bad bit,being chased,low to high,loop,lights,science museums,globe,light,finger,move the light","loop,lights,globe,light,finger","dramatic music,bad bit,being chased,low to high,science museums,move the light"
2,15,"frog croaking,scary,low,vibrations,faster,chased,intense,dominating,rough","scary,low,vibrations,faster,chased,intense,dominating,rough",frog croaking
2,16,"not like,sandpaper,frustrating,want to wear it down,annoying,sandpaper,paper,cardboard","not like,sandpaper,frustrating,annoying,sandpaper,paper,cardboard",want to wear it down
3,1,"annoyed,sweaty,sticking,irritating,wet,window of a car,mirror,damp mirror,trying to do something,sticky","annoyed,sweaty,sticking,irritating,wet,mirror,sticky","window of a car,damp mirror,trying to do something"
3,2,"happy,not depressed,benign,braille,limited knowledge,not electric,tingly,tingly,buzzing","happy,not depressed,benign,braille,not electric,tingly,tingly,buzzing",limited knowledge
3,3,"staccato,musical term,staccato,anxious,not benign","staccato,staccato,anxious,not benign",musical term
3,4,"constant friction,difficult,Resistance,restrictions,irksome","difficult,Resistance,restrictions,irksome",constant friction
3,5,"discreet,attentive,periodical,small buzz,no obstruction,sticker glue,annoying","discreet,attentive,periodical,annoying","small buzz,no obstruction,sticker glue"
3,6,"stronger,zing,staccato,fast staccato buzz","stronger,zing,staccato",fast staccato buzz
3,7,"resistance,jagged,irksome,annoying,frustrating,comes and goes,resistant,snow on grass,don't know what's underneath,step in a hole,stumbling","resistance,jagged,irksome,annoying,frustrating,resistant,stumbling","comes and goes,snow on grass,don't know what's underneath,step in a hole"
3,8,"sticker,sticky stuff,little buzz,polishing,squeaky clean,squeaking noise,resistance,constant","sticker,polishing,resistance,constant","sticky stuff,little buzz,squeaky clean,squeaking noise"
3,9,"constant,sludgy,sweaty,annoying,supposed to be sensing,can't make its mind up,not much on finger","constant,sludgy,sweaty,annoying","supposed to be sensing,can't make its mind up,not much on finger"
3,10,"resistant,forceful,aggressive,Sporadically,aggressive,stuck in the mud","resistant,forceful,aggressive,Sporadically,aggressive",stuck in the mud
3,11,"motor,tiny little motor,buzz,buzzing,bee,buzzing,Excitement,cutesy,satisfied,little dog,barking,dangerous,cute","motor,buzz,buzzing,bee,buzzing,Excitement,cutesy,satisfied,barking,dangerous,cute","tiny little motor,little dog"
3,12,"intrusive,aggressive,aggressive,sticker,aggressive,sticker,obstruction","intrusive,aggressive,aggressive,sticker,aggressive,sticker,obstruction",
3,13,"vibrator,not very powerful,funny,slightly exciting,buzz of excitement,not bored,in my head,exciting,mysterious,anxious","vibrator,funny,not bored,exciting,mysterious,anxious","not very powerful,slightly exciting,buzz of excitement,in my head"
3,14,"vibrator,switch,dramatic,vibrator,engine,unstable,finger,engine,sputtering,old-school,coming to life,engine,not comfortable,anxious","vibrator,switch,dramatic,vibrator,engine,unstable,finger,engine,sputtering,engine,not comfortable,anxious","old-school,coming to life"
3,15,"toughest,vibrator,audio,standing on the deck,surprised,vibration,distressed,dominant,stressing out","toughest,vibrator,audio,surprised,vibration,distressed,dominant","standing on the deck,stressing out"
3,16,"gentle,not sure,friendly,not stressful,kind,gentle,purring kitten,not anxious,chill,recommend,not necessarily,relieved,relief","gentle,not sure,friendly,not stressful,kind,gentle,not anxious,chill,recommend,not necessarily,relieved,relief",purring kitten
4,1,"static,rub a balloon on your head,static,prickly,small,bamboo woods,tiny little things","static,static,prickly,small","rub a balloon on your head,bamboo woods,tiny little things"
4,2,"not completely smooth,wall,painted over,not sandpaper,something between,you,smooth,wall,painted furniture,chalkboard,no emotions,scratch,sound,on my nails","wall,not sandpaper,you,smooth,wall,chalkboard,scratch,sound","not completely smooth,painted over,something between,painted furniture,no emotions,on my nails"
4,3,"whiteboard,erase,window,clean,frustrated,smoother,dirt,smooth,tugged,oil,grease,tiny,little thing,speck,dirt","whiteboard,erase,window,clean,frustrated,smoother,dirt,smooth,tugged,oil,grease,tiny,speck,dirt",little thing
4,4,"farts,similar,last one,resistance,dirt,dirty,cleaning a whiteboard,cleaning a window,gross,not really gross,dirty,Sticky,crazy","farts,similar,resistance,dirt,dirty,gross,dirty,Sticky,crazy","last one,cleaning a whiteboard,cleaning a window,not really gross"
4,5,"vibrations,tiny,tiny,bristles,toothbrush,dirty,bumps,soft,hard,thin,touching,toothbrush,fun","vibrations,tiny,tiny,bristles,toothbrush,dirty,bumps,soft,hard,thin,touching,toothbrush,fun",
4,6,"vibrating,wooden,friction,good speed,run it around,slower,harder,friction,not as smooth as glass,relatively smooth,surface,table,dinner table","vibrating,wooden,friction,slower,harder,friction,surface,table","good speed,run it around,not as smooth as glass,relatively smooth,dinner table"
4,7,"not uniform,get caught,dirty,glass,stuck,rubbing,flying,stuck,yucky,wash my hands","not uniform,dirty,glass,stuck,rubbing,flying,stuck,yucky","get caught,wash my hands"
4,8,"think,friction,small,different surface,dusty,diagonally,crazy,cleaning a window,windshield wipers","think,friction,small,dusty,diagonally,crazy","different surface,cleaning a window,windshield wipers"
4,9,"sometimes,relatively smooth,table,IKEA desk table,slight amount of friction,neutral,fresh,clean,not glass","sometimes,table,neutral,fresh,clean,not glass","relatively smooth,IKEA desk table,slight amount of friction"
4,10,"light rumbling,tummy growling,stomach growling,dog,cat,fuzzy onomatopoeia,petting a bee,buzzy,vibration,rumbling","dog,cat,buzzy,vibration,rumbling","light rumbling,tummy growling,stomach growling,fuzzy onomatopoeia,petting a bee"
4,11,"glass,shaver,shaving,mowing,shaver,electric toothbrush,glass,smooth,hairs,pushing","glass,shaver,shaving,mowing,shaver,glass,smooth,hairs,pushing",electric toothbrush
4,12,"dirty,not super sticky,dragged,friction,pushing,kid's iPad,spilled juice,pushing back,blowing","dirty,dragged,friction,pushing,blowing","not super sticky,kid's iPad,spilled juice,pushing back"
4,13,"mechanical vibration,machine,Rumbling from within,tingles,rumble,little tingle,warm,concerned,running machine,not what I was expecting","machine,tingles,rumble,warm,concerned","mechanical vibration,Rumbling from within,little tingle,running machine,not what I was expecting"
4,14,"lightly shocked,electric fence,electric current,laser tag,shoot somebody,be shot,rumbles,not hurt,neutral","rumbles,not hurt,neutral","lightly shocked,electric fence,electric current,laser tag,shoot somebody,be shot"
4,15,"smooth,ice rink,friction,messed up,some vibration,light vibration,small,snow ice pieces,smooth,soft","smooth,friction,small,smooth,soft","ice rink,messed up,some vibration,light vibration,snow ice pieces"
4,16,"arcade game,pulsing,spaceship games,shooting,avoid the missiles,shooting back,stressed,something's coming up","pulsing,shooting,stressed","arcade game,spaceship games,avoid the missiles,shooting back,something's coming up"
5,1,"small friction,fast,touching something with friction,no signals,no action required,small vibration,difficult,peeled an orange,slight friction,juices of the orange,no difference,no change in mood","fast,difficult","small friction,touching something with friction,no signals,no action required,small vibration,peeled an orange,slight friction,juices of the orange,no difference,no change in mood"
5,2,"friction,plastic,small dots,small rivets,steady,constant,working against,trying to make slow down,difficult,moving my finger,resistance,running a finger on the side of a matchbox,nimble small dots,physically stopping in my tracks","friction,plastic,steady,constant,difficult,resistance","small dots,small rivets,working against,trying to make slow down,moving my finger,running a finger on the side of a matchbox,nimble small dots,physically stopping in my tracks"
5,3,"soft,lines,not bring attention to itself,soft,runny,cool,not cold,coolness,skiing","soft,lines,soft,runny,cool,not cold,coolness,skiing",not bring attention to itself
5,4,"sporadic,stopping,forces pushing,pushing back,force exerted in the other direction,waves,constant,stop,direction,stubbornness,stubborn,want to push against it,something with a thought behind this,something want to do something","sporadic,stopping,waves,constant,stop,direction,stubbornness,stubborn","forces pushing,pushing back,force exerted in the other direction,want to push against it,something with a thought behind this,something want to do something"
5,5,"draggy,dragging,holding back,not pushing,pulling emotion,running away,holding you back,arms around your waist,pulled,glass,squeaking,music,glass","draggy,dragging,not pushing,pulled,glass,squeaking,music,glass","holding back,pulling emotion,running away,holding you back,arms around your waist"
5,6,"ice cream,soft,comforting,touch,pointy,waves,small outbursts,jumpy,pushy,jumping,stop,go,jumpy,barrier","soft,comforting,touch,pointy,waves,jumpy,pushy,jumping,stop,go,jumpy,barrier","ice cream,small outbursts"
5,7,"electric pulse,small electric outlet,tingly,felt before,electrical,therapeutic stuff,massage,massage chair","tingly,electrical,massage","electric pulse,small electric outlet,felt before,therapeutic stuff,massage chair"
5,8,"periodic,alert,small alarm clock,electrical,pointy,alarm clock,alarm clock going off in the morning,telling me to be alert,be aware,danger ahead,stop doing,something important","periodic,alert,electrical,pointy","small alarm clock,alarm clock,alarm clock going off in the morning,telling me to be alert,be aware,danger ahead,stop doing,something important"
5,9,"insisting,stop,pushy,physical,object,surface,be aware,stop moving a finger,driving a car,slow down,stop","insisting,stop,pushy,physical,object,surface,stop","be aware,stop moving a finger,driving a car,slow down"
5,10,"friction,tingly,electrical current,weak electrical fence,tingling,not trying to tell me anything,constant,there all the time,no feelings,not reminding anything,electric fence,small voltage,excitement,not an action,gather up the courage to do,not specific action,electrical fence","friction,tingly,tingling,constant,excitement","electrical current,weak electrical fence,not trying to tell me anything,there all the time,no feelings,not reminding anything,electric fence,small voltage,not an action,gather up the courage to do,not specific action,electrical fence"
5,11,"electrical saw,round saw,spinning,pulsating,heartbeat,pulse,electrical,shocks,communication","spinning,pulsating,heartbeat,pulse,electrical,shocks,communication","electrical saw,round saw"
5,12,"squeaky,not communication,sound of washing window,pulsating,not communication,a part of the surface,cleaning kitchen,running cloth,dirty area stops in its tracks,cleaning kitchen counter","squeaky,not communication,pulsating,not communication","sound of washing window,a part of the surface,cleaning kitchen,running cloth,dirty area stops in its tracks,cleaning kitchen counter"
5,13,"spitting,yellow,purple,color,plastic,jigsaw puzzles,playset,infrared lights,alarm system,electrical things as a child","spitting,yellow,purple,color,plastic,playset","jigsaw puzzles,infrared lights,alarm system,electrical things as a child"
5,14,"periodic,waves,stop,stop,stop,stop,half-hearted,strong,emphatic,insisting,not giving it all","periodic,waves,stop,stop,stop,stop,strong,emphatic,insisting","half-hearted,not giving it all"
5,15,"jets,jacuzzi,spa,water jets,massaging,calmness,relaxation,relaxed,swimming pool,leisurely,relaxing,sauna","jets,jacuzzi,spa,massaging,calmness,relaxation,relaxed,leisurely,relaxing,sauna","water jets,swimming pool"
5,16,"annoying,holding me back,in the way,biking across cobblestone,stopping,an inconvenience,slow down,take it easy,stop,get away,get worse,slowing down,electrical,physical,hard surface,forceful,force,finger is skipping over stuff,running over stuff,jumping up and down,friction,finger jump up and down","annoying,stopping,stop,electrical,physical,forceful,force,friction","holding me back,in the way,biking across cobblestone,an inconvenience,slow down,take it easy,get away,get worse,slowing down,hard surface,finger is skipping over stuff,running over stuff,jumping up and down,finger jump up and down"
6,1,"hard,friction,little hills,glass getting stuck,finger,fingerprint,uncomfortable,spilled,spill,sticky,wipe it away,nasty,wants my finger to get stuck on the glass,gross sound","hard,friction,finger,fingerprint,uncomfortable,spilled,spill,sticky,nasty","little hills,glass getting stuck,wipe it away,wants my finger to get stuck on the glass,gross sound"
6,2,"worse,slide,creaking,vibration,faster,electricity balls,centers,electrical buzzing,bee,beehive,motor running,not good","worse,slide,creaking,vibration,faster,centers,bee,beehive,not good","electricity balls,electrical buzzing,motor running"
6,3,"same motor,electrical,game,glass,touchscreen,goal reached,not nasty buzz,doing something,drawing,paintbrush,rusty paintbrush,not in a bad way,sense of accomplishment,brush,brushing,painting a picture,brush on fingers","electrical,game,glass,touchscreen,drawing,paintbrush,brush,brushing","same motor,goal reached,not nasty buzz,doing something,rusty paintbrush,not in a bad way,sense of accomplishment,painting a picture,brush on fingers"
6,4,"slower,deeper,not as pleasant,something wrong,dark,negative feelings,sinister,game,bad happens,lower,bass","slower,deeper,dark,sinister,game,lower,bass","not as pleasant,something wrong,negative feelings,bad happens"
6,5,"running,stumble,hills,stops,intervals,lagging,not nice,pissed off,Irritating,neurotic,prompt,impulsive,impatient,do something properly","running,stumble,hills,stops,intervals,lagging,not nice,Irritating,neurotic,prompt,impulsive,impatient","pissed off,do something properly"
6,6,"smooth,hits,sea,calm sea,dormant,not right,starting up,passive,Shaver,confuses my finger,not still,not constantly buzzing,not want to feel","smooth,hits,sea,dormant,not right,passive,Shaver,not still","calm sea,starting up,confuses my finger,not constantly buzzing,not want to feel"
6,7,"disruptive,nothing,restrictive,not in a good way,annoying,oppressing,holds you back,doesn't slide,disrupts,smooth,slide,slow ddownown,hurrying,somebody is like,no,don't go,pulls you back from your clothes","disruptive,nothing,restrictive,annoying,oppressing,disrupts,smooth,slide,hurrying,no","not in a good way,holds you back,doesn't slide,slow ddownown,somebody is like,don't go,pulls you back from your clothes"
6,8,"passive,quiet,don't like,someone who lives with their five cats,low,annoying,buzz,hard,not even detect,buzz,finger against the glass,coarse,grainy,sliding my finger across some small grains,dropped salt,eights in that with my finger","passive,quiet,low,annoying,buzz,hard,buzz,coarse,grainy","don't like,someone who lives with their five cats,not even detect,finger against the glass,sliding my finger across some small grains,dropped salt,eights in that with my finger"
6,9,"barely noticeable,not something you would meet,sweat on it or something,stiky,grease,disruptive,lagging,ordering at the McDonald's,impatient","stiky,grease,disruptive,lagging,impatient","barely noticeable,not something you would meet,sweat on it or something,ordering at the McDonald's"
6,10,"low,something in the background,touching,tiny motor,not too vibrating,pain,tooth pain,background,aching,vibrating,stable,confident,leader,stable,confident,stabilizing,calming,doesn't change,continue,turn it off","low,touching,pain,background,aching,vibrating,stable,confident,leader,stable,confident,stabilizing,calming,continue","something in the background,tiny motor,not too vibrating,tooth pain,doesn't change,turn it off"
6,11,"sticky,jam,playing around,oppressive,can't move,stop,sticky,telling me I should clean,restart,not correct","sticky,jam,oppressive,stop,sticky,restart,not correct","playing around,can't move,telling me I should clean"
6,12,"alive,good to touch,action,not disruptive,not too much in your face,positive,success,working,not negative,error,lack,continuous,not disruptive,positive,kitchen appliances,batteries,hairdryer,mixer,cringe,less","alive,action,not disruptive,positive,success,working,not negative,error,lack,continuous,not disruptive,positive,batteries,hairdryer,mixer,cringe,less","good to touch,not too much in your face,kitchen appliances"
6,13,"sticky,restricting,no pattern,takes you by surprise,false idea,stops your finger,not good,startling,tricked,boundaries,box,random places,3-D imagery","sticky,restricting,not good,startling,tricked,boundaries,box","no pattern,takes you by surprise,false idea,stops your finger,random places,3-D imagery"
6,14,"purring cat,action,results,drawing shapes,good feeling,not a disruption,prolonged,art,fun,creative,fun,creative,Colorful,fun,nice","action,results,prolonged,art,fun,creative,fun,creative,Colorful,fun,nice","purring cat,drawing shapes,good feeling,not a disruption"
6,15,"pumping out,steady purring,steady hum,weird outbursts,interrupting,not in control,Amazon workplace,pumping out packages,not consistent,movement,illusion,nothing","interrupting,not consistent,movement,illusion,nothing","pumping out,steady purring,steady hum,weird outbursts,not in control,Amazon workplace,pumping out packages"
