Participants,Signal,Tags,filtered_tags,phrases
6,16,"brushing,searching,hairy,tracing,pattern,landscape,texture,hair,old grandma,grandpa,newspapers,TV,radio,cat,purrs,nice cat,nature-wise,patterns,landscapes,materials,textures,whole ornaments,different colors,different textures,touching,game for kids,blind person,face","brushing,searching,hairy,tracing,pattern,landscape,texture,hair,grandpa,newspapers,TV,radio,cat,purrs,patterns,landscapes,materials,textures,touching,face","old grandma,nice cat,nature-wise,whole ornaments,different colors,different textures,game for kids,blind person"
7,1,"turgid,slimy,thick,sweaty,resistant,pulsing,not welcome,hard zone,stuck in the mud,Frustrated,Slow,Sludgy","turgid,slimy,thick,sweaty,resistant,pulsing,not welcome,Frustrated,Slow,Sludgy","hard zone,stuck in the mud"
7,2,"undulating,trailing,primary fuzz,trails,sparkles,sparkly,crackling of sparks,Mystical,depth,Deep voice,Charming guy,Wonder,Deep thought,Introspection,Slowness,Calm","undulating,trailing,trails,sparkles,sparkly,Mystical,depth,Wonder,Introspection,Slowness,Calm","primary fuzz,crackling of sparks,Deep voice,Charming guy,Deep thought"
7,3,"sweaty,lighter,thinner,string of droplets,tiny string of droplets,Drumming my fingers,pecking,small bird,small bird,Millipede marchig around,tiny millipede,erotic excitement,shiver,Buzzy,Anxious,Light,Indeterminate,Flattery","sweaty,lighter,thinner,pecking,shiver,Buzzy,Anxious,Light,Indeterminate,Flattery","string of droplets,tiny string of droplets,Drumming my fingers,small bird,small bird,Millipede marchig around,tiny millipede,erotic excitement"
7,4,"deeper,deeper,glass,strange rhythm,pulse,heartbeat,buzz,app,buzzing sound of a base outside of a club,surfaces,complexity,produced by a human,variance","deeper,deeper,glass,pulse,heartbeat,buzz,app,surfaces,complexity,variance","strange rhythm,buzzing sound of a base outside of a club,produced by a human"
7,5,"small balls,lottery,balls,champagne,party,bubbliness,smooth surfaces,metal pin,face,pins,randomly come into contact","lottery,balls,champagne,party,bubbliness,face,pins","small balls,smooth surfaces,metal pin,randomly come into contact"
7,6,"marching band drummer,paradiddle,fun,rhythmic,funny,posh,silly,flippant,floats around,entertained","paradiddle,fun,rhythmic,funny,posh,silly,flippant,entertained","marching band drummer,floats around"
7,7,"dagger,dagger waves,sawtooth,chainsaw,constant,angular,Quick,fast-paced,wired,caffeine,no natural energy,not unpleasant,anxious feeling,artificial energy,warm,pink noise,relax,bed","dagger,sawtooth,chainsaw,constant,angular,Quick,wired,caffeine,not unpleasant,warm,relax,bed","dagger waves,fast-paced,no natural energy,anxious feeling,artificial energy,pink noise"
7,8,"melodic,paradiddle,rhythm,meditative,thicker,ambiance,club,house music,deep house,ambiance,warmth,rhythm,dispersed,surface,making contact,receiving,larger body","melodic,paradiddle,rhythm,meditative,thicker,ambiance,club,ambiance,warmth,rhythm,dispersed,surface,receiving","house music,deep house,making contact,larger body"
7,9,"obvious pulsing rhythm,alarms,Metal Gear Solid,factory-wide alarm,security system,industrial plant,milder,Insistent,Ebbing,Broad,Spacious,take note,pay attention,not dangerous,alarming,importance,better foreboding","alarms,milder,Insistent,Ebbing,Broad,Spacious,not dangerous,alarming,importance","obvious pulsing rhythm,Metal Gear Solid,factory-wide alarm,security system,industrial plant,take note,pay attention,better foreboding"
7,10,"chirpy,birds,nervous,frolicking,playing,too much energy,get rid of,Incessant,excitement,nervousness,discharged,kid,playing,excited,afraid,too much energy to spare","chirpy,birds,nervous,frolicking,playing,Incessant,excitement,nervousness,discharged,kid,playing,excited,afraid","too much energy,get rid of,too much energy to spare"
7,11,"sweatiness,slight pulsing,ragtag ball,rolling,not much consistency,many-sided,rolling animal,forgot what cartoon,ant-eater-type,long snout,roll itself,roll around spaces,big,fat,strange angles,subsections","sweatiness,rolling,big,fat,subsections","slight pulsing,ragtag ball,not much consistency,many-sided,rolling animal,forgot what cartoon,ant-eater-type,long snout,roll itself,roll around spaces,strange angles"
7,12,"brittle,doesn't have much substance,glass,fracture,fine,complexly shaped,fragile,stepping on eggshells,be careful,Stepping on ice,Touching something delicate","brittle,glass,fracture,fine,fragile","doesn't have much substance,complexly shaped,stepping on eggshells,be careful,Stepping on ice,Touching something delicate"
7,13,"buzzing,fast,less deep,shallow,background noise,work ethic,consistency,determination,running over many days,commitment","buzzing,fast,shallow,consistency,determination,commitment","less deep,background noise,work ethic,running over many days"
7,14,"submarine,underwater,gloopy,muffled,bubbles,medium-sized,manmade metallic structures,pulses,ambivalence,indifference","submarine,underwater,gloopy,muffled,bubbles,pulses,ambivalence,indifference","medium-sized,manmade metallic structures"
7,15,"sweaty,fingers,buzziness,no current,sweaty glass,rattling,ticklish,confused,frustrated","sweaty,fingers,buzziness,rattling,ticklish,confused,frustrated","no current,sweaty glass"
7,16,"tanker,similar,sweaty,pane of glass,hard,specific,current,furry,hamster,Small,furry,mild-tempered,curled up,vibrating,anxious,charming,Coziness,Warmth,Sanctuary,Safety","tanker,similar,sweaty,hard,specific,current,furry,hamster,Small,furry,vibrating,anxious,charming,Coziness,Warmth,Sanctuary,Safety","pane of glass,mild-tempered,curled up"
8,1,"steady,little beats,ping pong,delay,slow,drawn-out,jumpy,bouncy,exciting,positive,Playing ping pong,not a constant kind of vibration,up and down,engaged with the glass and the screen","steady,delay,slow,jumpy,bouncy,exciting,positive","little beats,ping pong,drawn-out,Playing ping pong,not a constant kind of vibration,up and down,engaged with the glass and the screen"
8,2,"gentle,hardest,warm-up,friction,finger,concentrate,constant,forget,not interested,invested,beach,running hands,sand,colder,no rhythm","gentle,hardest,friction,finger,concentrate,constant,forget,not interested,invested,beach,sand,colder","warm-up,running hands,no rhythm"
8,3,"soft vibration,beat,spinning,DJ,disco,jam session,gentle,soft,energetic,connected,relax,chill out,bodega,good group of friends,not heavy,feel-good,social","beat,spinning,DJ,disco,gentle,soft,energetic,connected,relax,bodega,not heavy,social","soft vibration,jam session,chill out,good group of friends,feel-good"
8,4,"haphazard,siren,soft,warning,danger,ominous,movies,barrack,suspenseful,Thrilling,Danger,encroaching,Haphazardous,Slippery,gripping,slipping,uncomfortable","haphazard,siren,soft,warning,danger,ominous,movies,barrack,suspenseful,Thrilling,Danger,encroaching,Haphazardous,Slippery,gripping,slipping,uncomfortable",
8,5,"small,big,vibrator,sexual,interesting,pattern,exciting,Exciting,Interesting,Evoking","small,big,vibrator,sexual,interesting,pattern,exciting,Exciting,Interesting,Evoking",
8,6,"something,stop,steady beat,irritating,pattern,stopped and then starts,irritating,I'm anticipating something,I don't get it,drawn out,setting,vibrator,irritating,climax,Not consistent","something,stop,irritating,pattern,irritating,setting,vibrator,irritating,climax","steady beat,stopped and then starts,I'm anticipating something,I don't get it,drawn out,Not consistent"
8,7,"weird,impossible,running your finger along,surface,broken,struggling,daydreaming,mindlessly,get lost in the sensation,vibration,not focusing,not concentrating,confused","weird,impossible,surface,broken,struggling,daydreaming,mindlessly,vibration,not focusing,not concentrating,confused","running your finger along,get lost in the sensation"
8,8,"cool,interactive,skipping,going for a walk,excited,hopping alone,xylophone,light up-beat,interactive,playful,Groovy,fun,communication through glass","cool,interactive,skipping,excited,xylophone,interactive,playful,Groovy,fun","going for a walk,hopping alone,light up-beat,communication through glass"
8,9,"pressure,not the signal,in control,unsettled,lost control,insecure,Science Museum,purple electric lights,delayed reaction","pressure,unsettled,insecure","not the signal,in control,lost control,Science Museum,purple electric lights,delayed reaction"
8,10,"light,fluffy,dog,comforting,Soft,Furry,Cushiony,not velvety,Comforting,sweet,cuddly,dog hug,Petting dog,heartbeat,animal","light,fluffy,dog,comforting,Soft,Furry,Cushiony,not velvety,Comforting,sweet,cuddly,heartbeat,animal","dog hug,Petting dog"
8,11,"heartbeat,heartbeat,lying,freaked out,someone's chest,shocked,astounded,rubbing hand on chest,feel someone's heartbeat,close to someone","heartbeat,heartbeat,lying,shocked,astounded","freaked out,someone's chest,rubbing hand on chest,feel someone's heartbeat,close to someone"
8,12,"not light,more vicious,slime,rubbery slime,bounce back,liquid sensation,not sure,game,fun,playful","not light,slime,not sure,game,fun,playful","more vicious,rubbery slime,bounce back,liquid sensation"
8,13,"skating,ice skating,slide along the ice,gliding,relaxing,long sensation,calm,empathetic,glass is listening to me,patient,talk deeply","skating,gliding,relaxing,calm,empathetic,patient","ice skating,slide along the ice,long sensation,glass is listening to me,talk deeply"
8,14,"electric,anxious,electric,gaps,further apart,shouldn't be there,touched,electric,weird","electric,anxious,electric,gaps,touched,electric,weird","further apart,shouldn't be there"
8,15,"constant beat,keep touching the glass,music playing,deaf,listening to a song,familiar,Up-beat,Connected,fun,exciting,stimulating,evolving,stimulating,at a party,feeling the vibration,speaker,mood,party","deaf,familiar,Connected,fun,exciting,stimulating,evolving,stimulating,speaker,mood,party","constant beat,keep touching the glass,music playing,listening to a song,Up-beat,at a party,feeling the vibration"
8,16,"party vibe,against a speaker,beat of a song,not upbeat,concert,in-between act,silent,music,Ominous,shady,not trust,hooded,not open,threatened,wary","not upbeat,concert,silent,music,Ominous,shady,not trust,hooded,not open,threatened,wary","party vibe,against a speaker,beat of a song,in-between act"
9,1,"gliding,finger across the screen,normal window,squeaky,windowpane,hard fingertips","gliding,squeaky,windowpane","finger across the screen,normal window,hard fingertips"
9,2,"subtle,not vigorous,calming,loose,indents,indents,not alarming,subtle","subtle,not vigorous,calming,loose,indents,indents,not alarming,subtle",
9,3,"less rhythmic,Erratic",Erratic,less rhythmic
9,4,"uneasy,not smoothly gliding,unpredictable,alarming,computer,not available,can't be accessed","uneasy,unpredictable,alarming,computer,not available","not smoothly gliding,can't be accessed"
9,5,"soothing,relaxing,tender,smooth,soft,comforting,present,calm","soothing,relaxing,tender,smooth,soft,comforting,present,calm",
9,6,"rougher,dragging,sandpaper,telling me not to do something,Posh,Abrasive,Black and white","rougher,dragging,sandpaper,Posh,Abrasive","telling me not to do something,Black and white"
9,7,"not obvious,vibrator,subtle,motor,vibrator,Pleasure,Getting off,Sensual sensuality","not obvious,vibrator,subtle,motor,vibrator,Pleasure","Getting off,Sensual sensuality"
9,8,"sweaty,stuck,vibration,Carelessness,freeing,not detect pattern,own thing,own thing","sweaty,stuck,vibration,Carelessness,freeing","not detect pattern,own thing,own thing"
9,9,"not intentional,subtle,winter,wispy,delicate,light,suggesting,Crisp,tender,trivial,novel,not urgent,kissing my fingers,not nudging in a certain direction,not much contact,goes away instantly,tiny bits of them,not aggressive","not intentional,subtle,winter,wispy,delicate,light,suggesting,Crisp,tender,trivial,novel,not urgent,not aggressive","kissing my fingers,not nudging in a certain direction,not much contact,goes away instantly,tiny bits of them"
9,10,"not urgent,not aggressive,not directly,not touching,machinery,not touching,stroking,outside of a car,can feel the engine,not touching,car","not urgent,not aggressive,not directly,not touching,machinery,not touching,stroking,not touching,car","outside of a car,can feel the engine"
9,11,"smooth,gliding,restriction,limited,resistance,slide,harder,push,pressure,smooth,gliding,Subtle","smooth,gliding,restriction,limited,resistance,slide,harder,push,pressure,smooth,gliding,Subtle",
9,12,"peppy,alarm,Peppy,alarm,excitable,erratic,energetic,worried,anxious,vibrations,alarmed","peppy,alarm,Peppy,alarm,excitable,erratic,energetic,worried,anxious,vibrations,alarmed",
9,13,"panic,heart palpitation,alert,aware,work moving around,panic,spiraling into dread,subtle,overthinking","panic,alert,aware,panic,subtle,overthinking","heart palpitation,work moving around,spiraling into dread"
9,14,"beat,tempo,vigilant,alarm,steady,tempo,organized,fear-mongering,Alert,Aware,Awake","beat,tempo,vigilant,alarm,steady,tempo,organized,Alert,Aware,Awake",fear-mongering
9,15,"chirpy,little bird,chirping,alarm,emergency alarm,fire alarm,panic,good,panic,tell me something,aware of","chirpy,chirping,alarm,panic,good,panic","little bird,emergency alarm,fire alarm,tell me something,aware of"
9,16,"dragging,slow,inconsistent,hard,working against the current,Prickly,Tricky,negotiating,set in their waves,black and white,stubborn","dragging,slow,inconsistent,hard,Prickly,Tricky,negotiating,stubborn","working against the current,set in their waves,black and white"
10,1,"pleasant,abrupt,sweaty fingers,piece of glass,difficult to distinguish,subtle,notification,underwhelming,small stops,subtle feeling,edginess,sharp stop edginess","pleasant,abrupt,subtle,notification,underwhelming,edginess","sweaty fingers,piece of glass,difficult to distinguish,small stops,subtle feeling,sharp stop edginess"
10,2,"rugged,uneven,brick wall,uneven,not smooth","rugged,uneven,uneven,not smooth",brick wall
10,3,"pattern,rhythmic,music,chord progression,baseline,rhythm,feels good,speaks to my brain,chord progression,bass line,follow along to,brain activated","pattern,rhythmic,music,baseline,rhythm","chord progression,feels good,speaks to my brain,chord progression,bass line,follow along to,brain activated"
10,4,"harsher,warning,computer,unsuccessful,sound,something went wrong,unsuccessfulness,Try again","harsher,warning,computer,unsuccessful,sound,unsuccessfulness","something went wrong,Try again"
10,5,"Apple Watch,up in pitch,down in pitch,waves of vibration,monotone,waves,surge,vibration,on and off,binary state,On-off","monotone,waves,surge,vibration","Apple Watch,up in pitch,down in pitch,waves of vibration,on and off,binary state,On-off"
10,6,"more coarse,spread out,coarse feeling,combination of coarse to fine,static,static feeling,coarse vibration",static,"more coarse,spread out,coarse feeling,combination of coarse to fine,static feeling,coarse vibration"
10,7,"sharpness,needles stabbing,prickly,hairs rise,back of your neck,Getting kissed in the back of the neck,weird space between pleasure and pain,not nice,not pleasant,stabby,arousal","sharpness,prickly,not nice,not pleasant,stabby,arousal","needles stabbing,hairs rise,back of your neck,Getting kissed in the back of the neck,weird space between pleasure and pain"
10,8,"longer bursts of vibrations,activated,ongoing,live progress,not hard-working,sticking to their guns,doing what they're told,get up every morning,do what you're supposed to do","activated,ongoing","longer bursts of vibrations,live progress,not hard-working,sticking to their guns,doing what they're told,get up every morning,do what you're supposed to do"
10,9,"subtle,pulsing,stabby,attack,hard,decaying,sine wave,slow beat,up and down","subtle,pulsing,stabby,attack,hard,decaying","sine wave,slow beat,up and down"
10,10,"pronounced,attention-grabbing,easily,spacing,sudden,minutemud,pay attention,importance","pronounced,easily,spacing,sudden,minutemud,importance","attention-grabbing,pay attention"
10,11,"similar,more spacing,same vein,sporadic,heartbeat,little winded,Relaxation,lower physical effort","similar,sporadic,heartbeat,Relaxation","more spacing,same vein,little winded,lower physical effort"
10,12,"high attack,quick decay,spatial separation,distinguish,scattered,not under control,living in bursts,disappear,come back full force","distinguish,scattered,disappear","high attack,quick decay,spatial separation,not under control,living in bursts,come back full force"
10,13,"muddy,weaker,engine,motor,running in idle,standing,old steam train,waiting,platform ready to go,uniform pace,syncopated","muddy,weaker,engine,motor,standing,waiting,syncopated","running in idle,old steam train,platform ready to go,uniform pace"
10,14,"dance music,high beat frequency,fast-paced music,thumping sound,high bpm,working at a fast pace,attention-grabbing,neutral way,drawn to look towards",,"dance music,high beat frequency,fast-paced music,thumping sound,high bpm,working at a fast pace,attention-grabbing,neutral way,drawn to look towards"
10,15,"muddy,not clearly defined,not distinctively,subtle,indifferent","muddy,not distinctively,subtle,indifferent",not clearly defined
10,16,"not feeling,vibrator,fast onset,quick decay,quick,vibrating feeling,continuous vibration,ticklish,travels up the arm,nice sensation,pleasantness,no message,hedonistic,notification,sharp","not feeling,vibrator,quick,ticklish,pleasantness,hedonistic,notification,sharp","fast onset,quick decay,vibrating feeling,continuous vibration,travels up the arm,nice sensation,no message"
11,1,"tingly,tingling,odd,grainy,something in between,finger,glass,Not very different,really,not that much","tingly,tingling,odd,grainy,finger,glass,really","something in between,Not very different,not that much"
11,2,"slippery,wet,liquid,icy,wet,not cold,wrong,cleaned,glass,slippery,spilled,slippery,slippery,easier to move,faster","slippery,wet,liquid,icy,wet,not cold,wrong,cleaned,glass,slippery,spilled,slippery,slippery,faster",easier to move
11,3,"odd,surface,can't feel,thin piece of carpet,not fluffy,boring carpet,hospitals,bumpy,in between,carpet sensation,static,harder,not glass","odd,surface,not fluffy,hospitals,bumpy,static,harder,not glass","can't feel,thin piece of carpet,boring carpet,in between,carpet sensation"
11,4,"can't feel,harder,weird,harder,slippery,hard,not much,sensation","harder,weird,harder,slippery,hard,not much,sensation",can't feel
11,5,"not feeling,can't work out,harder,run your hand from side to side,vibrations,phone,vibrating,little bit,phone in pocket","not feeling,harder,vibrations,phone,vibrating","can't work out,run your hand from side to side,little bit,phone in pocket"
11,6,"perspex glass,plasticky,dryer,not pleasant,unpacking boxes,not great,wouldn't want to voluntarily touch it,run your hands over,Take your hands off","plasticky,dryer,not pleasant,not great","perspex glass,unpacking boxes,wouldn't want to voluntarily touch it,run your hands over,Take your hands off"
11,7,"computer screen,not pure glass,tactile,perspex-like feeling,phone,touch screen laptop","tactile,phone","computer screen,not pure glass,perspex-like feeling,touch screen laptop"
11,8,"lighter,soft,weird,not slippery,soft,pillow,cloth-like,easy,gentle,kind,soft-spoken,less friction,calming,painting","lighter,soft,weird,not slippery,soft,pillow,easy,gentle,kind,calming,painting","cloth-like,soft-spoken,less friction"
11,9,"strange vibration sensation,stuck,screen,sticky,unpleasant,little vibrations,uncomfortable,iPhone alarm,sequence","stuck,screen,sticky,unpleasant,uncomfortable,sequence","strange vibration sensation,little vibrations,iPhone alarm"
11,10,"worse,last one,better,phone's vibrating,phone call,annoying ringtones,ringing,vibration setting,phone,vibration,urgent,doing something,ignoring","worse,better,ringing,phone,vibration,urgent,ignoring","last one,phone's vibrating,phone call,annoying ringtones,vibration setting,doing something"
11,11,"not much difference,not really,not really,cannot feel,pleasant,vibrating a lot","not really,not really,pleasant","not much difference,cannot feel,vibrating a lot"
11,12,"odd sensation,not completely smooth,get stuck,rubber boots,rubber wellies,brush your feet,stuck,rubber,glass,gets stuck or caught","stuck,rubber,glass","odd sensation,not completely smooth,get stuck,rubber boots,rubber wellies,brush your feet,gets stuck or caught"
11,13,"pattern,vibration,familiar,not ringing,music,phone,speaker,Consistent","pattern,vibration,familiar,not ringing,music,phone,speaker,Consistent",
11,14,"different on each finger,can't associate,vibrations,fades,brail,bumpy,individual bumps,texture","vibrations,fades,brail,bumpy,texture","different on each finger,can't associate,individual bumps"
11,15,"tingling in fingers,glass,glass screen protector,nice sensation,not sticky,not uncomfortable,static,static shock","glass,not sticky,not uncomfortable,static","tingling in fingers,glass screen protector,nice sensation,static shock"
11,16,"wood,sanded,smooth,wood,not smooth,not textured,hardy,rough around the edges,granddad,sandpaper,wood,drawer","wood,sanded,smooth,wood,not smooth,not textured,hardy,granddad,sandpaper,wood,drawer",rough around the edges
12,1,"tiny little,very light bumps,super,super light,calloused fingers,stubbly beard,day after shaving,annoyance","super,annoyance","tiny little,very light bumps,super light,calloused fingers,stubbly beard,day after shaving"
12,2,"nothing,not continuous,tiny footsteps,skip,faint heartbeat,testing somebody,quiet,mousy person,no much to say,child,quiet child,skipping,playground","nothing,not continuous,skip,quiet,child,skipping,playground","tiny footsteps,faint heartbeat,testing somebody,mousy person,no much to say,quiet child"
12,3,"fainter,screen,slight buzz,tiny steps,skipping,continuous,raror,super light,Nothing","fainter,screen,skipping,continuous,raror,Nothing","slight buzz,tiny steps,super light"
12,4,nothing,nothing,
12,5,"no feeling,light vibration,pinky,imagining it,want to",pinky,"no feeling,light vibration,imagining it,want to"
12,6,"super light,friction,glass,little tiny bumps,sand","friction,glass,sand","super light,little tiny bumps"
12,7,"super light,pulses,far apart,one wide gap,super light,hard to detect,pinky,Nonexistent,sad,dying bee","pulses,pinky,Nonexistent,sad","super light,far apart,one wide gap,super light,hard to detect,dying bee"
12,8,"nothing,nothing,nothing,nothing,say,nothing","nothing,nothing,nothing,nothing,say,nothing",
12,9,"numb,not much,nothing happening,not getting anything","numb,not much","nothing happening,not getting anything"
12,10,"not much going on,very light,continuous buzz,very,very light,continuous,very,very light buzz","very,continuous,very","not much going on,very light,continuous buzz,very light,very light buzz"
12,11,"nothing,first finger,second,get,less continuous,bumpy,light,not much to say,barely feel,gravelly","nothing,second,get,bumpy,light,gravelly","first finger,less continuous,not much to say,barely feel"
12,12,"nothing,second,pulsing,super light,not super good,grand,gentle buzz,pulsing,not continuous,not annoyed","nothing,second,pulsing,grand,pulsing,not continuous,not annoyed","super light,not super good,gentle buzz"
12,13,"pinky,speed bumps,ant,ant-sized speed bumps,small,sensation,bumpy,gaps,uncomfortable,gaps,closer together,blood taken,clips,heartbeat","pinky,ant,small,sensation,bumpy,gaps,uncomfortable,gaps,clips,heartbeat","speed bumps,ant-sized speed bumps,closer together,blood taken"
12,14,"nothing,glass,sensations,pinky finger,intense,longer,shorter,one,okay,manic,beats,Xbox,Playstation,crash,shoots,vibrates,shot,crashed into something","nothing,glass,sensations,intense,longer,shorter,one,okay,manic,beats,Xbox,Playstation,crash,shoots,vibrates,shot","pinky finger,crashed into something"
12,15,"nothing,nothing,nothing,super light,big gaps,chilled-out,stroll on the beach,phone vibrates,relax,a bit of a stoner,deep thoughts,chill-out,whatever,hanging out,just chilled out,good time","nothing,nothing,nothing,relax,whatever","super light,big gaps,chilled-out,stroll on the beach,phone vibrates,a bit of a stoner,deep thoughts,chill-out,hanging out,just chilled out,good time"
12,16,"pinky,picking,uneven,not equal,bad,not nice,intense,not a good time,Bad,not sad,not angry,bad emotion Annoyance,On even,sloppy,annoyed,uncomfortable","pinky,picking,uneven,not equal,bad,not nice,intense,Bad,not sad,not angry,sloppy,annoyed,uncomfortable","not a good time,bad emotion Annoyance,On even"
