Participants,Signal,filtered_words,Final Sentiment
1,1,beach,Positive
1,1,friendly,Positive
1,1,not distressing,Positive
1,1,pleasant,Positive
1,2,pleasant,Positive
1,3,stimulative,Positive
1,3,satisfied,Positive
1,3,massage,Positive
1,4,not feeling,Positive
1,4,rhythmical,Positive
1,5,euphoric,Positive
1,6,important,Positive
1,6,soothing,Positive
1,8,mild,Positive
1,8,pleasant,Positive
1,8,pleasant,Positive
1,9,constant,Positive
1,11,not feeling,Positive
1,12,horse,Positive
1,12,stimulative,Positive
1,12,unalarming,Positive
1,13,soothing,Positive
1,13,active_voice,Positive
1,13,satisfied,Positive
1,14,constant,Positive
1,14,steady,Positive
1,14,constant,Positive
1,15,rhythmical,Positive
1,15,satisfied,Positive
1,15,passenger,Positive
2,1,subordinate,Positive
2,1,neutral,Positive
2,2,satisfied,Positive
2,3,quiet,Positive
2,3,quiet,Positive
2,5,euphoric,Positive
2,5,satisfied,Positive
2,5,subordinate,Positive
2,8,familiar,Positive
2,10,satisfied,Positive
2,10,stimulative,Positive
2,11,clock,Positive
2,11,constant,Positive
3,2,happy,Positive
3,2,elate,Positive
3,2,benign,Positive
3,3,staccato,Positive
3,3,staccato,Positive
3,5,discreet,Positive
3,5,attentive,Positive
3,6,staccato,Positive
3,8,constant,Positive
3,9,constant,Positive
3,11,buzz,Positive
3,11,satisfied,Positive
3,11,cute,Positive
3,13,exciting,Positive
3,13,mysterious,Positive
3,15,surprised,Positive
3,16,friendly,Positive
3,16,kind,Positive
3,16,not anxious,Positive
3,16,urgent,Positive
3,16,substitute,Positive
4,3,clean,Positive
4,5,funny,Positive
4,7,flying,Positive
4,9,neutral,Positive
4,9,clean,Positive
4,13,machine,Positive
4,14,be_well,Positive
4,14,neutral,Positive
5,2,steady,Positive
5,2,constant,Positive
5,3,assured,Positive
5,3,hotness,Positive
5,3,cool,Positive
5,4,constant,Positive
5,5,musical,Positive
5,7,massage,Positive
5,10,constant,Positive
5,10,excitement,Positive
5,11,communicational,Positive
5,15,spa,Positive
5,15,easy,Positive
5,15,leisurely,Positive
6,5,impatient,Positive
6,6,oceanic,Positive
6,8,quiet,Positive
6,8,buzz,Positive
6,8,buzz,Positive
6,9,impatient,Positive
6,10,stable,Positive
6,10,confident,Positive
6,10,leader,Positive
6,10,stable,Positive
6,10,confident,Positive
6,10,continue,Positive
6,11,obstructive,Positive
6,12,alive,Positive
6,12,active,Positive
6,12,success,Positive
6,12,working,Positive
6,12,affirmative,Positive
6,13,startling,Positive
6,14,active,Positive
6,14,artistic,Positive
6,14,funny,Positive
6,14,creative,Positive
6,14,funny,Positive
6,14,creative,Positive
6,14,funny,Positive
6,16,radio,Positive
7,2,profound,Positive
7,4,buzz,Positive
7,5,lottery,Positive
7,6,funny,Positive
7,6,silly,Positive
7,6,entertained,Positive
7,7,constant,Positive
7,7,pleasant,Positive
7,8,rhythmical,Positive
7,8,rhythmical,Positive
7,8,receiving,Positive
7,9,safe,Positive
7,9,important,Positive
7,10,excitement,Positive
7,10,stimulative,Positive
7,13,consistent,Positive
7,13,determination,Positive
7,16,charming,Positive
8,1,steady,Positive
8,1,exciting,Positive
8,2,constant,Positive
8,2,bore,Positive
8,2,beach,Positive
8,3,energetic,Positive
8,5,interesting,Positive
8,5,exciting,Positive
8,6,climactic,Positive
8,8,assured,Positive
8,8,stimulative,Positive
8,8,playful,Positive
8,8,funny,Positive
8,10,sweet,Positive
8,12,funny,Positive
8,12,playful,Positive
8,13,calm,Positive
8,13,patient,Positive
8,14,electric,Positive
8,14,electric,Positive
8,14,electric,Positive
8,15,familiar,Positive
8,15,funny,Positive
8,15,exciting,Positive
8,16,musical,Positive
9,2,unalarming,Positive
9,5,soothing,Positive
9,5,tender,Positive
9,5,present,Positive
9,5,calm,Positive
9,9,tender,Positive
9,9,not urgent,Positive
9,9,unaggressive,Positive
9,10,not urgent,Positive
9,10,unaggressive,Positive
9,12,excitable,Positive
9,12,energetic,Positive
9,14,vigilant,Positive
9,14,steady,Positive
9,14,directive,Positive
9,15,good,Positive
10,1,pleasant,Positive
10,1,abrupt,Positive
10,1,notification,Positive
10,3,musical,Positive
10,3,rhythmical,Positive
10,5,billowy,Positive
10,8,ongoing,Positive
10,10,sudden,Positive
10,10,important,Positive
10,13,standing,Positive
10,16,not feeling,Positive
10,16,notification,Positive
11,2,hotness,Positive
11,5,not feeling,Positive
11,8,pillow,Positive
11,8,kind,Positive
11,11,pleasant,Positive
11,13,familiar,Positive
11,13,musical,Positive
11,15,not sticky,Positive
11,15,comfortable,Positive
11,16,hardy,Positive
12,2,quiet,Positive
12,2,childly,Positive
12,2,playground,Positive
12,16,unangry,Positive
1,3,alien,Negative
1,6,urgent,Negative
1,6,alarm,Negative
1,6,alarm,Negative
1,6,unfamiliar,Negative
1,8,alarm,Negative
1,9,oppressive,Negative
1,9,oppressive,Negative
1,14,urgent,Negative
1,15,tedious,Negative
1,16,distressed,Negative
1,16,unpleasant,Negative
1,16,boring,Negative
2,1,stifle,Negative
2,2,numb,Negative
2,2,distressed,Negative
2,3,quiet,Negative
2,3,quiet,Negative
2,5,stifle,Negative
2,5,boring,Negative
2,7,uncomfortable,Negative
2,7,distressed,Negative
2,7,stifle,Negative
2,7,fall_short_of,Negative
2,9,agitative,Negative
2,9,unpredictable,Negative
2,9,nervous,Negative
2,10,offensive,Negative
2,10,dominant,Negative
2,12,frantic,Negative
2,12,intense,Negative
2,12,bomb,Negative
2,12,sore,Negative
2,13,uncomfortable,Negative
2,15,intense,Negative
2,16,annoying,Negative
3,1,irritating,Negative
3,1,sticky,Negative
3,2,not electric,Negative
3,3,anxious,Negative
3,3,malignant,Negative
3,4,difficult,Negative
3,5,annoying,Negative
3,7,resistive,Negative
3,7,annoying,Negative
3,7,resistant,Negative
3,8,resistive,Negative
3,9,annoying,Negative
3,10,resistant,Negative
3,10,aggressive,Negative
3,10,aggressive,Negative
3,11,bee,Negative
3,11,dangerous,Negative
3,12,intrusive,Negative
3,12,aggressive,Negative
3,12,aggressive,Negative
3,12,aggressive,Negative
3,12,obstruction,Negative
3,13,mysterious,Negative
3,13,anxious,Negative
3,14,unstable,Negative
3,14,anxious,Negative
3,15,surprised,Negative
3,15,distressed,Negative
3,15,dominant,Negative
4,1,prickly,Negative
4,1,small,Negative
4,3,erase,Negative
4,3,frustrative,Negative
4,3,dirty,Negative
4,3,atomic,Negative
4,3,dirty,Negative
4,4,resistive,Negative
4,4,dirty,Negative
4,4,dirty,Negative
4,4,gross,Negative
4,4,dirty,Negative
4,4,crazy,Negative
4,5,dirty,Negative
4,6,frictional,Negative
4,6,frictional,Negative
4,7,dirty,Negative
4,7,flying,Negative
4,8,frictional,Negative
4,8,small,Negative
4,8,crazy,Negative
4,12,dirty,Negative
4,12,frictional,Negative
4,13,concerned,Negative
4,15,frictional,Negative
4,15,small,Negative
4,16,shooting,Negative
5,1,difficult,Negative
5,2,frictional,Negative
5,2,difficult,Negative
5,2,resistive,Negative
5,3,lineal,Negative
5,6,barrier,Negative
5,10,frictional,Negative
5,12,not communication,Negative
5,12,not communication,Negative
5,16,annoying,Negative
5,16,forceful,Negative
5,16,frictional,Negative
6,1,frictional,Negative
6,1,uncomfortable,Negative
6,1,sticky,Negative
6,1,nasty,Negative
6,2,bad,Negative
6,2,creaking,Negative
6,2,bee,Negative
6,2,evil,Negative
6,4,dark,Negative
6,4,sinister,Negative
6,4,low,Negative
6,5,stumble,Negative
6,5,lagging,Negative
6,5,neurotic,Negative
6,5,impatient,Negative
6,6,passive,Negative
6,7,restrictive,Negative
6,7,annoying,Negative
6,8,passive,Negative
6,8,quiet,Negative
6,8,annoying,Negative
6,9,lagging,Negative
6,9,impatient,Negative
6,10,painful,Negative
6,10,aching,Negative
6,11,sticky,Negative
6,11,oppressive,Negative
6,11,sticky,Negative
6,12,faulty,Negative
6,12,deficient,Negative
6,12,cringe,Negative
6,13,sticky,Negative
6,13,evil,Negative
6,13,startling,Negative
6,15,illusional,Negative
6,16,hairy,Negative
7,1,slimy,Negative
7,1,resistant,Negative
7,3,shivery,Negative
7,4,complex,Negative
7,6,silly,Negative
7,7,dagger,Negative
7,9,alarming,Negative
7,10,nervous,Negative
7,10,jittery,Negative
7,10,afraid,Negative
7,11,fat,Negative
7,12,fracture,Negative
7,12,fragile,Negative
7,14,indifferent,Negative
7,15,frustrative,Negative
7,16,anxious,Negative
8,1,delay,Negative
8,2,frictional,Negative
8,2,forget,Negative
8,4,siren,Negative
8,4,warning,Negative
8,4,risky,Negative
8,4,ominous,Negative
8,4,uncomfortable,Negative
8,5,small,Negative
8,6,irritating,Negative
8,6,irritating,Negative
8,6,irritating,Negative
8,7,weird,Negative
8,7,impossible,Negative
8,7,breakable,Negative
8,9,imperative,Negative
8,9,unsettled,Negative
8,9,insecure,Negative
8,10,not velvety,Negative
8,11,lying,Negative
8,12,slimy,Negative
8,14,anxious,Negative
8,14,pertinent,Negative
8,14,weird,Negative
8,15,deaf,Negative
8,16,shady,Negative
8,16,distrust,Negative
8,16,hooded,Negative
8,16,wary,Negative
9,2,not vigorous,Negative
9,4,uneasy,Negative
9,4,unpredictable,Negative
9,4,alarming,Negative
9,7,unobvious,Negative
9,11,restriction,Negative
9,11,limited,Negative
9,11,resistive,Negative
9,11,imperative,Negative
9,12,alarm,Negative
9,12,alarm,Negative
9,12,erratic,Negative
9,12,worried,Negative
9,12,anxious,Negative
9,13,panicky,Negative
9,13,panicky,Negative
9,14,alarm,Negative
9,15,alarm,Negative
9,15,panicky,Negative
9,15,panicky,Negative
10,1,abrupt,Negative
10,2,rugged,Negative
10,2,uneven,Negative
10,2,uneven,Negative
10,4,warning,Negative
10,4,unsuccessful,Negative
10,5,billowy,Negative
10,7,prickly,Negative
10,7,unpleasant,Negative
10,9,assailable,Negative
10,10,sudden,Negative
10,12,disappear,Negative
10,13,muddy,Negative
10,15,muddy,Negative
11,2,wrong,Negative
11,4,weird,Negative
11,6,unpleasant,Negative
11,8,weird,Negative
11,9,sticky,Negative
11,9,unpleasant,Negative
11,9,uncomfortable,Negative
11,10,bad,Negative
11,10,urgent,Negative
12,1,annoyance,Negative
12,2,skip,Negative
12,2,quiet,Negative
12,6,frictional,Negative
12,9,numb,Negative
12,13,small,Negative
12,13,uncomfortable,Negative
12,14,intense,Negative
12,14,clangorous,Negative
12,14,injectable,Negative
12,16,uneven,Negative
12,16,bad,Negative
12,16,intense,Negative
12,16,sloppy,Negative
12,16,uncomfortable,Negative